Date,Time,PWM1,RPM,KNOTS,PWM2,RPM2,KNOTS2
01-01-1970,00:01:04,197,3862,77.24,197,3862,77.24
01-01-1970,00:01:05,197,3862,77.24,197,3862,77.24
01-01-1970,00:01:06,197,3862,77.24,197,3862,77.24
01-01-1970,00:01:07,197,3862,77.24,197,3862,77.24
01-01-1970,00:01:08,197,3862,77.24,197,3862,77.24
01-01-1970,00:01:09,197,3862,77.24,197,3862,77.24
01-01-1970,00:01:10,197,3862,77.24,197,3862,77.24
01-01-1970,00:01:11,197,3862,77.24,197,3862,77.24
01-01-1970,00:01:12,197,3862,77.24,197,3862,77.24
01-01-1970,00:01:13,197,3862,77.24,197,3862,77.24
01-01-1970,00:01:14,197,3862,77.24,197,3862,77.24
01-01-1970,00:01:15,197,3862,77.24,197,3862,77.24
01-01-1970,00:01:16,183,3588,71.76,197,3862,77.24
01-01-1970,00:01:17,146,2862,57.24,146,2862,57.24
01-01-1970,00:01:18,146,2862,57.24,146,2862,57.24
01-01-1970,00:01:19,146,2862,57.24,146,2862,57.24
01-01-1970,00:01:20,146,2862,57.24,146,2862,57.24
01-01-1970,00:01:21,146,2862,57.24,146,2862,57.24
01-01-1970,00:01:22,146,2862,57.24,146,2862,57.24
01-01-1970,00:01:23,146,2862,57.24,146,2862,57.24
01-01-1970,00:01:24,146,2862,57.24,146,2862,57.24
01-01-1970,00:01:25,146,2862,57.24,146,2862,57.24
01-01-1970,00:01:26,146,2862,57.24,146,2862,57.24
01-01-1970,00:01:27,0,0,0,0,0,0
01-01-1970,00:01:28,0,0,0,0,0,0
01-01-1970,00:01:29,0,0,0,0,0,0
01-01-1970,00:01:30,0,0,0,0,0,0
01-01-1970,00:01:31,0,0,0,0,0,0
01-01-1970,00:01:32,0,0,0,0,0,0
01-01-1970,00:01:33,0,0,0,0,0,0
01-01-1970,00:01:34,0,0,0,0,0,0
01-01-1970,00:01:35,0,0,0,0,0,0
01-01-1970,00:01:36,0,0,0,0,0,0
01-01-1970,00:01:37,0,0,0,0,0,0
01-01-1970,00:01:38,0,0,0,0,0,0
01-01-1970,00:01:39,0,0,0,0,0,0
01-01-1970,00:01:40,0,0,0,0,0,0
01-01-1970,00:01:41,0,0,0,0,0,0
01-01-1970,00:01:42,0,0,0,0,0,0
01-01-1970,00:01:43,0,0,0,0,0,0
01-01-1970,00:01:44,0,0,0,0,0,0
01-01-1970,00:01:45,0,0,0,0,0,0
01-01-1970,00:01:46,0,0,0,0,0,0
01-01-1970,00:01:47,0,0,0,0,0,0
01-01-1970,00:01:48,0,0,0,0,0,0
01-01-1970,00:01:49,0,0,0,0,0,0
01-01-1970,00:01:50,0,0,0,0,0,0
01-01-1970,00:01:51,0,0,0,0,0,0
01-01-1970,00:01:52,0,0,0,0,0,0
01-01-1970,00:01:53,0,0,0,0,0,0
